StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,Q45_1,Q45_2,Q45_3,Q45_4,Q42,Q44,age,gender,gender_4_TEXT,race,end,PROLIFIC_PID,STUDY_ID,SESSION_ID,stim_pair_id,stim_category,stim_truth,stim_truth_gender,A_id,A_gender,A_GK,A_Word,B_id,B_gender,B_GK,B_Word,slider_value,slider_side,rts_ms,endorser_id,endorser_gender,stage3_q1_pair_id,stage3_q1_category,stage3_q1_truth,stage3_q1_selected_label,stage3_q1_selected_id,endorser_slider_value_q1,stake_percent_q1,rt_ms_stage3_q1,stage3_q2_pair_id,stage3_q2_category,stage3_q2_truth,stage3_q2_selected_label,stage3_q2_selected_id,endorser_slider_value_q2,stake_percent_q2,rt_ms_stage3_q2,stage3_q1_is_correct,stage3_q1_actual_bonus,rt_ms_stage3_outcome,assigned_condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been stung by an bee?,Please respond truthfully to the items below. - Have you ever been to Thailand?,Please respond truthfully to the items below. - Have you ever been to Venus?,Please respond truthfully to the items below. - Have you ever drunk water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one two"" (exactly as shown) as your response to proceed:

What is 13 + 39?",Consent to Participate in the Research - I am 18 years of age or older.,"Consent to Participate in the Research - I certify that, to the best of my knowledge, I am eligible to participate in this research according to the information located in the consent form.",Consent to Participate in the Research - I have read and understand the information above and have no further questions about my participation at this time.,Consent to Participate in the Research - I agree to participate in this research and continue with the activities.,"When the endorsers made their predictions, what information did they have access to?",What is the gender of the endorser?,What is your age?,What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,PROLIFIC_PID,STUDY_ID,SESSION_ID,stim_pair_id,stim_category,stim_truth,stim_truth_gender,A_id,A_gender,A_GK,A_Word,B_id,B_gender,B_GK,B_Word,slider_value,slider_side,rts_ms,endorser_id,endorser_gender,stage3_q1_pair_id,stage3_q1_category,stage3_q1_truth,stage3_q1_selected_label,stage3_q1_selected_id,endorser_slider_value_q1,stake_percent_q1,rt_ms_stage3_q1,stage3_q2_pair_id,stage3_q2_category,stage3_q2_truth,stage3_q2_selected_label,stage3_q2_selected_id,endorser_slider_value_q2,stake_percent_q2,rt_ms_stage3_q2,stage3_q1_is_correct,stage3_q1_actual_bonus,rt_ms_stage3_outcome,assigned_condition
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_4_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""stim_pair_id""}","{""ImportId"":""stim_category""}","{""ImportId"":""stim_truth""}","{""ImportId"":""stim_truth_gender""}","{""ImportId"":""A_id""}","{""ImportId"":""A_gender""}","{""ImportId"":""A_GK""}","{""ImportId"":""A_Word""}","{""ImportId"":""B_id""}","{""ImportId"":""B_gender""}","{""ImportId"":""B_GK""}","{""ImportId"":""B_Word""}","{""ImportId"":""slider_value""}","{""ImportId"":""slider_side""}","{""ImportId"":""rts_ms""}","{""ImportId"":""endorser_id""}","{""ImportId"":""endorser_gender""}","{""ImportId"":""stage3_q1_pair_id""}","{""ImportId"":""stage3_q1_category""}","{""ImportId"":""stage3_q1_truth""}","{""ImportId"":""stage3_q1_selected_label""}","{""ImportId"":""stage3_q1_selected_id""}","{""ImportId"":""endorser_slider_value_q1""}","{""ImportId"":""stake_percent_q1""}","{""ImportId"":""rt_ms_stage3_q1""}","{""ImportId"":""stage3_q2_pair_id""}","{""ImportId"":""stage3_q2_category""}","{""ImportId"":""stage3_q2_truth""}","{""ImportId"":""stage3_q2_selected_label""}","{""ImportId"":""stage3_q2_selected_id""}","{""ImportId"":""endorser_slider_value_q2""}","{""ImportId"":""stake_percent_q2""}","{""ImportId"":""rt_ms_stage3_q2""}","{""ImportId"":""stage3_q1_is_correct""}","{""ImportId"":""stage3_q1_actual_bonus""}","{""ImportId"":""rt_ms_stage3_outcome""}","{""ImportId"":""assigned_condition""}"
2025-10-30 21:20:01,2025-10-30 21:20:43,1,,100,41,1,2025-10-30 21:20:43,R_5rDi7Xf27OT2y5h,,,,,39.83,-75.4155,preview,EN,,,,,,,,,,,,,,,,,,,,,,identical_WW_Bwins,Identical_WomanWoman_Bwins,B,Woman,zaken6uy,Woman,68,72,3z86qvov,Woman,68,,,,,hrjvpu,Woman,obvious_m_fails,ObviousFails_ManLooksBetter,B,A,nuunve0a,22,76,,discord_gkM_wW,Discordant_GKfavMan_WordfavWoman,A,B,i7u34n0x,72,,,0,0.48,,
2025-11-04 15:10:37,2025-11-04 15:11:23,0,98.114.134.44,100,45,1,2025-11-04 15:11:25,R_3vDQH4VPZa6zHcR,,,,,39.83,-75.4155,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,discord_gkW_wM,Discordant_GKfavWoman_WordfavMan,B,Man,aoygoszl,Woman,75,1,49ki2ruu,Man,17,,,,,isqm5b,Man,identical_WW_Bwins,Identical_WomanWoman_Bwins,B,A,zaken6uy,34,75,,dominant_A,Dominant,A,B,wdjc417p,77,,,0,0.50,,
2025-11-10 23:11:13,2025-11-10 23:26:03,0,128.135.196.104,100,889,1,2025-11-10 23:26:04,R_5qefBGPYxGyWzqk,,,,,41.7821,-87.6046,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,dominant_A,Dominant,A,Woman,zlrgipzx,Woman,97,99,wdjc417p,Man,3,,,,,3sdmzx,Man,close_winsW,Close_WomanWins,A,A,e9jz82ta,12,80,,obvious_m_fails,ObviousFails_ManLooksBetter,B,A,nuunve0a,2,,,1,1.60,,
2025-11-04 15:23:04,2025-11-04 15:46:55,0,98.114.134.44,75,1430,0,2025-11-11 15:46:56,R_5P056ZLjHH0jJl9,,,,,39.83,-75.4155,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,obvious_w_fails,ObviousFails_WomanLooksBetter,B,Man,5yrzkge8,Woman,100,92,1unc8ds8,Man,9,,,,,8xmv8e,Man,discord_gkW_wM,Discordant_GKfavWoman_WordfavMan,B,A,aoygoszl,49,61,,obvious_w_fails,ObviousFails_WomanLooksBetter,B,A,5yrzkge8,16,,,0,0.78,,
2026-02-10 15:41:34,2026-02-10 15:42:49,1,,100,75,1,2026-02-10 15:42:50,R_7ke64zVBYKtMihw,,,,,39.9597,-75.1995,preview,EN,1,1,2,2,2,1,one two,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 15:43:22,2026-02-10 15:45:46,1,,100,144,1,2026-02-10 15:45:46,R_7uEUwnDOdnAjUHQ,,,,,39.9597,-75.1995,preview,EN,2,1,2,1,2,1,one two,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 15:46:14,2026-02-10 15:49:29,1,,100,194,1,2026-02-10 15:49:29,R_7YwuNDUwDm1rY9X,,,,,39.9597,-75.1995,preview,EN,1,1,2,2,2,1,one two,,,,,2,,22,1,,2,22,,,,,,,,,,,,,,,,,,,mpn45e,Woman,close_winsW,Close_WomanWins,A,A,e9jz82ta,10,30,,unknown_split_ManWins,UnknownsSplit_ManWins,B,B,cjivnb9m,60,,,1,0.60,,
2026-02-12 15:50:42,2026-02-12 15:53:30,0,73.102.226.90,100,168,1,2026-02-12 15:53:31,R_6x5Y4zNoCQclAZz,,,,,39.4278,-86.4283,anonymous,EN,1,2,2,1,2,1,one two,2,2,2,2,2,2,29,2,,5,,670e09973d94a59502e84783,698df2d1ef3b06cdc3c49ca3,698df6c98ebc37e6a86909a4,,,,,,,,,,,,,,,,61bb392e40db417c1a138dcb,Woman,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,A,5yrzkge8,0,100,,identical_woman_woman,Identical_WomanWoman_Bwins,B,A,zaken6uy,5,,,0,0.00,,W_incorrect_strong
